id	title	tag	borderList	approveList	negativeList
TN	Тунис	UN	DZ, LY
TM	Туркмения	UN	AF, IR, KZ, UZ
TR	Турция	UN	GE, AM, AZ, IR, IQ, SY, GR, BG
UG	Уганда	UN	CD, RW, TZ, KE
UZ	Узбекистан	UN	KG, KZ, TM, AF, TJ
UA	Украина	UN	RU, BY, PL, SK, HU, RO, MD
UY	Уругвай	UN	BR, AR
FM	Федеративные Штаты Микронезии	UN
FJ	Фиджи	UN
PH	Филиппины	UN	SUL, BAN
FI	Финляндия	UN	RU, SE, NO
FR	Франция	UN	BE, LU, DE, CH, MC, IT, ES, AD
HR	Хорватия	UN	SI, HU, RS, BA, ME
CF	ЦАР	UN	SD, SS, CD, CG, CM, TD
TD	Чад	UN	NE, NG, CM, CF, SD, LY
ME	Черногория	UN	HR, BA, RS, KOS, AL
CZ	Чехия	UN	PL, DE, AT, SK
CL	Чили	UN	AR, PE, BO
CH	Швейцария	UN	DE, IT, FR, AT, LI
SE	Швеция	UN	NO, FI
LK	Шри-Ланка	UN
EC	Эквадор	UN	CO, PE
GQ	Экваториальная Гвинея	UN	CM, GA
ER	Эритрея	UN	SD, ET, DJ
EE	Эстония	UN	RU, LV
ET	Эфиопия	UN	ER, DJ, SO, SML, KE, SD, SS
ZA	ЮАР	UN	NA, BW, ZW, MZ, SZ
KR	Республика Корея	UNNA	KP		KP
SS	Южный Судан	UN	ET, KE, UG, CD, CF, SD
JM	Ямайка	UN
JP	Япония	UN
TRNC	Турецкая Республика Северного Кипра	NA	CY	TR, ABH
ABH	Абхазия	NA	RU, GE	RU, NI, VE, NR, SOS, NKR, PMR
SOS	Южная Осетия	NA	RU, GE	RU, NI, VE, NR, ABH, NKR, PMR, SADR, DNR, LNR, PK
KHA	Халистан	NA	IN, PK	PK, TR, TRNC
CRT	Китайская Республика (о. Тайвань)	UNNA		BZ, BF, VA, HT, GT, HN, DO, KI, MH, NR, NI, PW, PA, PY, SV, ST, SZ, VC, KN, LC, SB, TV
SADR	Сахарская Арабская Демократическая Республика	NA	MA, DZ, MR, ML	DZ, AO, BZ, BO, BW, VU, VE, TL, VN, GY, GH, HN, ZM, ZW, IR, YE, CV, KE, KP, CU, LA, LS, LR, LY, MR, MW, ML, MX, MZ, NA, NG, NI, PG, RW, SV, SY, SR, SL, TZ, TT, UG, UY, EC, ET, ZA, SS, JM, TV
MOR	Мальтийский Орден	NA	IT	CN, IT
PMR	Приднестровская Молдавская Республика	NA	MD, UA	ABH, SOS, NKR
NKR	Нагорно-Карабахская Республика	NA	AM, AZ, IR	ABH, SOS, PMR
SML	Сомалиленд	NA	DJB, ET, PNT
PNT	Пунтленд	NA	SML, GLM, ET
DJB	Джубаленд	NA	AZA, JAM,HIH
GLM	Галмудуг	NA	HIH, PNT
HIH	Химан и Хеб	NA	GLM, DJB, JAM
AVD	Авдаленд	NA	SML
JAM	Джамаат Аш-Шабааб	NA	AZA, DJB, HIH
VAS	Государство Ва	NA	MM, SHA
SHA	Государство Шан	NA	MM, VAS
ABY	Эмират Абьян	NA	ESH, YE
ESH	Эмират Шавба	NA	ABY, YE
VAZ	Вазиристан	NA	AF, PK
BAK	ДР Бакасси	NA
AZA	Азавад	NA	DJB, JAM
SUL	Султанат Сулу	NA	MY, ID, PH
NAG	Народная республика Нагалим	NA	IN
SIL	Силенд	NA
MUR	Мурравари	NA	AU
EUA	Эуахлаи-Квинсленд	NA	AU
BAN	Банксаморо	NA	PH
SIR	Сирийский Курдистан (Западный Курдистан)	NA	TR, IQ, IR, SY
DNR	Донецкая Народная Республика	NA	UA, RU, LNR	SOS, LNR
LNR	Луганская Народная Республика	NA	UA, RU, DNR	SOS, DNR
KOS	Косово	NA	RS	AF, CR, AL, FR, TR, US, GB, AU, SN, LV, DE, EE, IT, DK, LU, PE, BE, PL, CH, AT, IE, SE, NL, IS, SI, FI, JP, CA, MC, HU, HR, BG, LI, KP, NO, MH, NR, BF, LT, SM, CZ, LR, SL, CO, BZ, MT, WS, PT, ME, MK, AE, MY, PA, MV, PW, GM, SA, KM, BH, JO, DO, NZ, MW, MR, SZ, VU, DJ, SO, HN, KI, QA, GW, OM, AD, CF, GN, NE, BJ, LC, GA, CI,  KW, GH, HT, ST, BN, TD, PG, BI, TL, KN, FJ, DM, PK, GY, TZ, YE, EG, SV, GD, LY, TH, TO, LS, TG, CRT, MOR, TRNC
PAL	Палестина	UNNA	JO, EG, IL	DZ, BH, ID, IQ, YE, LY, KW, MR, MY, MA, SO, TN, TR, AF, BD, ZM, JO, QA, CU, MG, MT, NI, AE, PK, SA, RS, AL, BN, DJ, MU, SD, EG, IN, CY, NG, SK, CZ, LK, BY, VN, GN, NA, RU, UA, CN, BF, GW, KH, ML, MN, SN, HU, CV, KP, NE, RO, TZ, BG, ZW, MV, GH, AZ
